Kilobytes	Time(microsecs)
=====================================
0	37.271981
10	7.072809
20	9.754297
30	5.311092
40	6.952531
50	5.271
60	7.461943
70	5.910123
80	146.894621
90	9.108099
100	10.442947
110	667.69296
120	23.810296
130	10.098622
140	11.91694
150	5.712018
160	9.11989
170	6.197846
180	9.233093
190	7.04215
200	9.763731
210	5.407786
220	8.66708
230	5.846446
240	578.930271
250	7.945413
260	8.042107
270	6.681316
280	10.631618
290	3.964452
300	8.209552
310	4.365378
320	6.417177
330	2.881951
340	6.141245
350	2.966853
360	298.345649
370	5.79692
380	5.747394
390	3.344196
400	5.938424
410	2.990437
420	4.594142
430	2.471592
440	4.492731
450	2.582436
460	4.388962
470	2.749882
480	3.877192
490	316.892021
500	14.294196
510	4.561124
520	8.947728
530	4.43613
540	6.709617
550	3.650786
560	5.596457
570	5.124779
580	7.091676
590	4.636593
600	6.921872
610	5.820504
620	417.800414
630	7.643539
640	9.938251
650	7.079884
660	8.909994
670	6.219072
680	8.499634
690	6.355859
700	7.867586
710	5.355902
720	8.806225
730	7.119977
740	10.537282
750	2381.2389
760	6.513871
770	2.773466
780	4.405471
790	2.445649
800	4.752154
810	2.438574
820	4.223875
830	2.275845
840	4.037562
850	2.398482
860	4.075296
870	2.266412
880	327.688726
890	3.664937
900	4.285193
910	2.448008
920	4.374812
930	2.542343
940	3.834741
950	2.641396
960	3.853608
970	2.205094
980	3.650786
990	2.19566
1000	196.1142
1010	3.221559
1020	4.021053
