Kilobytes	Time(microsecs)
=====================================
0	22.13584
10	5.316988
20	8.384073
30	4.440257
40	15.535888
50	4.149586
60	7.983147
70	4.199701
80	7.030947
90	3.939099
100	7.873482
110	706.958369
120	10.003107
130	4.079423
140	9.29677
150	4.500396
160	7.753204
170	3.963862
180	7.667712
190	4.064684
200	6.971398
210	4.204418
220	7.401804
230	3.794058
240	418.231409
250	5.848805
260	7.492602
270	3.422612
280	7.883505
290	3.468011
300	7.121156
310	3.347733
320	7.226694
330	3.828845
340	6.625304
350	3.342427
360	433.706569
370	6.509743
380	7.391781
390	4.013978
400	7.226694
410	3.778729
420	7.191318
430	3.628382
440	7.016207
450	3.488057
460	6.710796
470	3.54289
480	7.24674
490	412.176835
500	61.907713
510	7.507342
520	11.476511
530	5.257439
540	10.714751
550	5.0216
560	10.624543
570	4.926085
580	9.928228
590	4.65546
600	10.508982
610	4.570558
620	774.904737
630	6.905953
640	8.048592
650	4.154892
660	9.361625
670	4.791067
680	10.478912
690	5.497994
700	9.687083
710	3.868937
720	7.737874
730	4.284603
740	6.890623
750	426.7505
760	10.604496
770	4.074117
780	7.687759
790	3.843585
800	8.349287
810	4.505702
820	7.903551
830	3.8937
840	7.462533
850	4.08473
860	6.855837
870	3.763399
880	457.115938
890	5.282202
900	7.697782
910	3.758683
920	7.662406
930	3.257525
940	6.996161
950	3.377803
960	7.242023
970	3.848891
980	7.8328
990	3.854197
1000	394.906941
1010	6.700773
1020	8.499634

